"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
0.55822460349114,1,0.166924703869198,0.664513857272145,1,0.304906320850885,0.749670434301579,1,1,0.561617560229392,0.34425094659175,0.00859721276385097,0.279739410076021,0.00876515401419645,0.00803305933469416,0.00888677083009236,0.0090492129468383
1,0.105296924235464,1,0.307718624458319,0.373378535743478,1,1,0.206392155446217,0.840178064682213,1,0.019050327677785,0.013783769894204,0.0153714915593453,0.00884128487183262,0.00869793661581236,0.00876485951033477,0.00909529370704413
0.616881364661823,0.623248109846938,1,1,0.941066009440373,0.935677293922148,0.0823546921102182,1,0.359209235157486,0.832105000107146,0.751825617478684,0.0598972483437151,0.0108125415091026,0.00953672039796998,0.00836292340121079,0.00842646608895219,0.00863831341952329
1,0.056702616850791,1,0.844947338044842,0.647571636460336,1,0.530999997274262,1,1,0.78676655371317,1,0.010870468822869,0.0093065301911533,0.00854710294179544,0.00870948341397106,0.00892304464692612,0.00879134774823845
0.582604374966774,1,1,1,1,1,1,1,0.0639563223799318,0.0153585569720415,0.0685475661186282,0.0143205143856773,0.025601265251765,0.00880165933414887,0.00874569912489321,0.00900316149035998,0.00830867441775162
0.638989046577876,0.706915849031568,1,1,1,1,1,1,1,0.440287420575193,0.0322739748111518,1,0.119839259162771,0.0133911901112065,0.00923181488622922,0.0102504241265287,0.00899421042008871
0.736587507823428,1,1,0.400799440409521,0.17836579228483,1,0.652959397872927,1,1,0.0400916800388283,0.0969931534310178,0.0086819291871724,0.00872162737763136,0.0109271895585175,0.00837681998549456,0.00878872336242042,0.00842717325938283
1,0.372391934804281,1,1,1,1,1,1,1,0.0224447060083171,1,0.031804937897371,0.00902197422579042,0.00896780886316862,0.0090123924854087,0.00863817027000379,0.00879161288151671
1,0.472510208907477,1,0.102777225930699,1,1,0.0792903910146543,1,0.0730687357640526,0.4556295988333,1,0.0102293869202191,0.00881019285031511,0.00894340043944463,0.0089562587826307,0.00860412729865155,0.00859713744553694
0.6746864729649,0.964694591204764,0.652085011330671,0.389012684472601,1,0.360267096856448,0.766722743119578,0.662600865866345,0.657550199306251,0.0217989106784861,0.682562012236222,0.00942878577715397,0.00942579582902984,0.00959647756706974,0.00903023539368051,0.00842573261175873,0.00927419997277354
1,0.464894428321047,1,1,0.838729503573758,1,0.430599328046723,0.962336487326124,0.263029329740244,0.201139066118246,0.901466428055502,0.00953807539691058,0.085285104778533,0.00872082191267218,0.00906674488519063,0.00815676572623822,0.00849142871028803
1,1,0.37645150681621,1,1,1,0.193983203398681,1,1,0.0641383103593151,0.0122435139250677,0.100996835330034,1,0.0115349277170315,0.00867194918504256,0.00867959177883622,0.0088509730219605
0.81429014502404,1,1,1,1,1,1,0.785303988595116,1,0.969957063103033,0.0146832401859942,0.128978331783099,0.23323877931884,0.00881828779359889,0.00873886869877355,0.00907573291402439,0.00891396757072801
1,1,1,0.400550517556601,1,1,1,1,0.0177624294942769,0.24601020852583,0.0143254551777158,0.0285526672459003,0.0108251111279559,0.00910376045609793,0.00871377011370778,0.00968668173369326,0.00799601855048955
1,0.709869050386189,1,0.503449973776083,1,0.834268836047599,1,1,0.2277063106569,1,0.0208867451426926,0.0101628802165961,0.00980608411252173,0.00979781191772471,0.016863688145466,0.00863743232921044,0.129033762039227
0.339932481030795,0.777617040461968,0.681080678356286,1,0.28633915675205,1,0.1220607689202,0.128753900653858,1,1,0.0111826059543879,0.147746107628444,0.00847489107550984,0.0092055607100882,0.0083174095674432,0.00894917577143423,0.00873076199686194
0.942970380031664,1,1,1,0.667097778983207,0.14015802540936,1,0.969540783910365,0.26741470411041,0.0420618443839329,0.0519345766932041,0.00979642625637582,0.0107546570000205,0.0124909451487814,0.0093416580040779,0.00849082084578959,0.00854823874169646
0.695390968801235,1,1,1,1,1,1,0.687098598276781,1,0.0190045608042725,0.577611349085445,0.00941168713150832,0.00903095124072232,0.00891303003618017,0.00879902360025241,0.00861315472474849,0.00871276378994719
1,0.653184344353082,0.27583392502407,0.607986502186654,1,0.105643284320641,1,1,0.201895285159285,0.0452921266329412,0.0280222176219929,0.0129382464807038,0.00882483598145569,0.00940507700448187,0.00963733028808126,0.00903402972623768,0.00928332279588323
0.508620704612067,0.536375157129111,0.653896627630373,0.256558166034786,0.656104469766777,0.852179313840948,0.384520375810819,1,1,0.115354759504576,0.0358567405082904,0.00982802470686891,0.0121927868141841,0.00917965198167461,0.00915821660342379,0.00874778153158323,0.00828934482163933
