"","p 1","p 2","p 3","p 4","p 5","p 6","p 7","p 8","p 9","p 10"
"1",0.173605662565047,0.000553616086534539,0.00710299929286326,1.14318530360148e-09,0.105539598395112,0.02156634357758,0.476184222413615,0.00379448081026525,0.178208193992899,0.363899524194152
"2",0.0695389795061216,0.00121820367327377,0.157392172855408,0.00103226671649606,0.000255036202955978,0.00395587149242705,0.0027203730703951,1.02455306838307e-05,0.0123884104994629,0.839408070701646
"3",0.10576716753285,0.839441866036951,0.308033486198222,1.62221326449627e-09,8.95629633097068e-10,0.0379442412238408,0.000194741795934957,0.109281585526071,0.997619177125497,0.765136846347015
"4",0.0111777082508715,0.184044399317986,1.92761827488299e-06,0.000218148011455151,0.644681571200339,0.000130902197535036,0.00582921921871042,3.97312110705559e-05,0.257577114728461,0.168887179067315
"5",0.00339882023638481,1.71583759463598e-09,0.474832118768975,0.000323440076587306,1.95129600298783e-07,0.0234941313514597,0.779527900490225,0.614388957693289,0.0181001564116536,0.21756035472912
"6",0.00777522906520603,0.000435084403647025,1.11513586072052e-06,0.00766852272257492,0.049883330032908,1.05735395160841e-06,0.00358269007653891,0.758944850888527,0.000557323380064083,0.051649524512486
"7",4.76535183591572e-07,0.199740485313264,0.00111958339902176,0.0719924233509538,0.0120273584899787,0.00848225630243776,0.00304125670722603,0.0160373538251606,0.015252906521428,3.04385246863128e-06
"8",4.18233041949984e-06,0.073876973314452,0.523576384816344,0.0723317678391615,0.087993103259262,0.275371601642393,0.0077330524727531,0.000455878991642759,0.0308113455178801,0.148346866387509
"9",2.0182524266003e-05,0.0199183239077388,9.23556583601299e-09,0.17171175477072,0.00419396506444315,0.260018550850318,0.14462715380151,0.878960280237009,0.00415090151456734,0.276191700320829
"10",0.514418640752943,0.00122269467864933,0.770383383149324,2.52679159726184e-05,5.17889601341584e-12,0.155315740884684,0.404550695565938,0.0297784679194094,0.167623064074974,0.77429233185258
"11",0.559331565035339,2.4819817115363e-10,0.0488295604580369,0.405995520417125,0.759387127390415,0.431020181778303,0.291060563554963,0.00560327989197643,0.00297487514162379,0.000995991500937748
"12",4.11006328613438e-10,0.422106747929335,0.101297769707364,0.111503868870282,0.366820623893458,0.00250635102147065,0.106222780084408,1.67652771052616e-08,0.154566238982661,0.929740455165819
"13",7.12057575644662e-06,0.19934628999819,0.00723613111445571,0.000162130555767913,0.123370448727086,0.000578608329365746,0.00845705452143532,2.70749625309773e-06,0.257303355327134,0.720877035186356
