"","p 1","p 2","p 3","p 4","p 5","p 6","p 7","p 8","p 9","p 10"
"1",0.125590408267339,0.330394606561081,0.241894967964641,0.4292868163283,0.0228659173610154,0.627675035978026,0.585431885556237,0.380363347377575,0.549418868631657,0.164200483737194
"2",1,0.976167030895385,0.941203647240537,1,0.141380726419685,0.0423581403467076,1,0.978191869112356,0.057360058438126,0.975958477970121
"3",0.453876667734573,0.461268299531728,0.634786174281568,0.454206851818498,0.534709462245891,0.570851608354627,0.517234230108185,0.475493462533715,0.620009610806429,0.60679602436912
"4",0.00473243406847734,0.00658715532165065,0.0154838089606481,0.0113442613091031,0.0374256683860503,0.0112361488876229,0.0427366376342997,0.0341815289597974,0.436711692456664,0.0132660863538026
"5",0.680829467648805,0.672017318948308,0.00120315720321135,0.0686599620977814,0.0783390980144742,0.424417547972432,0.667359560465644,0.0285612998987527,0.0281899758519954,0.275953436845574
"6",0.115652053524464,0.328021616091236,0.861260826272837,0.0392369259560074,0.687590362210871,0.00138025673722394,0.482758249296266,0.00292592610040097,0.643881867956922,0.737195598949891
"7",0.826448755097794,0.00346073220905666,0.0445217958197754,0.0734956825476841,0.648691952975835,0.905709237512554,0.493977333756443,0.913498089812427,0.755713955598992,0.811542921476723
"8",0.348702925176741,0.23115376554354,0.648793583102106,0.297882639866095,0.463789576379882,0.225246027882825,0.393732450970251,0.0764760518984312,0.00414027815063979,0.744091340203875
"9",0.0053252299461941,0.000507028182677314,0.0122292536820988,0.0129525355437581,0.000589252119591552,0.000548561185015412,0.00109349825191363,0.000506809481242877,0.000511255641729073,0.000523132989329481
"10",0.199085898943751,0.729177442150165,0.556630009204788,0.00326193334142997,0.191732252414049,0.626137538151788,0.0869370603916002,0.632850327592502,0.605477235320899,0.169015506055269
"11",0.982207681946451,0.842304308492194,0.218772652956559,0.108919541598677,0.81436247065131,0.0455534838882445,0.849723617999276,0.0701083937730668,0.967842043936398,0.879247044854299
"12",0.0367981089148656,0.113691130066971,0.214677422505311,0.113176972898964,0.0324987582550668,0.0432907472394238,0.00611279200411188,0.0710094143146795,0.032209684241737,0.162139254245618
