"","p 1","p 2","p 3","p 4","p 5","p 6","p 7","p 8","p 9","p 10"
"1",4.19031245950876e-30,4.31089870210816e-25,8.25282872414291e-31,2.32431420150506e-23,5.08736097776835e-26,1.92867410930631e-20,1.41045901356774e-25,1.53054611335773e-28,1.3504778601622e-30,2.85209421391986e-22
"2",8.96412128811013e-23,9.15702966057245e-26,2.09759535588614e-31,1.16792049621605e-26,1.46742846708306e-27,5.1913512376803e-24,2.17940771295319e-21,5.18670739985943e-25,4.10007003455832e-25,4.42967544494981e-22
"3",1.47364390524844e-24,5.40602492577884e-31,4.26208191211742e-23,1.46413982101841e-26,9.37338597611417e-29,7.0391079128992e-28,8.63836896343404e-23,1.13102128861144e-24,9.67227368199091e-32,1.5547660103678e-28
"4",2.50679727328523e-22,1.40438809124072e-28,1.84938789417632e-26,1.24987039578261e-35,1.00779185600267e-26,8.25639632411121e-30,1.06535545032959e-24,1.64013859178827e-25,5.44109189492556e-26,1.58261869750407e-29
"5",2.99222732078524e-22,1.64139289442446e-26,1.47583487401738e-25,1.27653136663197e-30,1.04173928495235e-24,4.3013254920983e-20,2.50937430621255e-23,1.78624274190622e-27,9.14777732901048e-25,2.98986181900792e-24
"6",1.58764183797224e-22,4.6025507818533e-24,4.12941455330922e-29,2.57307361801372e-27,1.74257252634809e-24,5.08206746252192e-24,3.61672673222463e-19,2.77803713329751e-27,1.5734739014523e-28,1.63919779725033e-29
"7",2.5581975484681e-29,4.35514647904804e-31,8.81350949488228e-33,1.6746819919708e-29,1.1277239102345e-21,5.40640353848904e-27,8.1596338771466e-31,2.15236367523771e-23,1.3972829963854e-30,2.41638680769031e-26
"8",4.71664130096593e-25,4.47830682092335e-34,6.53948233893974e-26,1.31079177888077e-29,2.89442577315141e-29,3.63244028704868e-21,1.17468412295141e-22,1.32814555930887e-22,3.36929345334392e-30,1.09143307341503e-20
"9",1.5264561842904e-30,1.35910608101783e-22,8.70615414680942e-25,1.59710021149744e-29,1.68855176622529e-22,1.55939008786227e-25,8.4250542910307e-23,3.83547310375746e-33,8.74049116454312e-27,6.08672735364595e-24
"10",6.13095905535603e-25,2.9735360023086e-28,1.13697896593822e-28,2.44648582338734e-29,3.77359357454742e-21,4.91440020757049e-25,5.78744064801174e-33,8.94187073026764e-29,1.44311371290525e-32,8.64005361013491e-30
