"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
4.64816665649414,5.22349810600281,5.76183271408081,6.2180118560791,6.72558879852295,7.09643745422363,7.62005257606506,7.85558414459229,8.34945154190063,15.2396533489227,25.9272177219391
4.7196843624115,5.2979462146759,5.74959230422974,6.24766659736633,6.67085266113281,6.99534797668457,7.58704543113708,7.92547559738159,8.45959711074829,15.2688710689545,26.0052051544189
4.78581571578979,5.22940540313721,5.83018660545349,6.17940402030945,6.70069074630737,7.00389218330383,7.49627208709717,7.91142964363098,8.47526550292969,15.3375997543335,25.9310264587402
4.78232884407043,5.27709102630615,5.81710982322693,6.04831385612488,6.61941814422607,7.13350319862366,7.63819336891174,8.03982996940613,8.55795812606812,15.2265338897705,25.9185571670532
4.62576460838318,5.09322309494019,5.72075772285461,6.20598316192627,6.67392516136169,7.13020300865173,7.43949580192566,8.05787205696106,8.52819037437439,15.3142867088318,26.0995833873749
4.74055862426758,5.35019779205322,5.76417827606201,6.17967796325684,6.59772515296936,7.03492307662964,7.52226972579956,7.98314905166626,8.3564190864563,15.2020046710968,25.9482116699219
4.82959580421448,5.42150950431824,5.69910573959351,6.07541942596436,6.69824314117432,7.02976870536804,7.49123096466064,7.88284397125244,8.47069549560547,15.221403837204,25.9806306362152
4.84409403800964,5.25364184379578,5.74473762512207,6.19158267974854,6.58304309844971,6.98826289176941,7.57311773300171,8.10507225990295,8.45140147209167,15.2379910945892,25.8925127983093
4.78408622741699,5.3419497013092,5.74431872367859,6.12870121002197,6.58996438980103,7.19065690040588,7.57768321037292,7.9834463596344,8.42429161071777,15.1504991054535,26.0640888214111
4.75279664993286,5.18067479133606,5.70126152038574,6.06551456451416,6.59113931655884,7.16423749923706,7.44830751419067,8.06209492683411,8.45547914505005,15.2877082824707,25.8910596370697
4.81395769119263,5.34701919555664,5.6946108341217,6.16408824920654,6.70250010490417,7.10715079307556,7.4700608253479,8.03340530395508,8.44110441207886,15.1952183246613,26.0733444690704
4.82424378395081,5.21835446357727,5.70923972129822,6.19211149215698,6.56335163116455,7.15416502952576,7.5773777961731,7.85917234420776,8.47981858253479,15.1951153278351,25.9334273338318
4.84867382049561,5.07482194900513,5.801194190979,6.19952273368835,6.62187886238098,7.06792712211609,7.57357716560364,8.01117753982544,8.36406350135803,15.2252655029297,25.9618272781372
4.80523824691772,5.30410957336426,5.89985179901123,6.24939346313477,6.67961120605469,7.09945726394653,7.41418790817261,8.01739621162415,8.47933530807495,15.163473367691,25.8746163845062
4.67301511764526,5.22680068016052,5.66455888748169,6.1439254283905,6.67421531677246,7.12763905525208,7.49694418907166,7.93961453437805,8.3392276763916,15.1650190353394,25.9633145332336
4.65695476531982,5.19061779975891,5.76713728904724,6.23292684555054,6.57419085502625,7.15310072898865,7.55635523796082,7.82712602615356,8.43552947044373,15.2604105472565,26.0642819404602
4.79050326347351,5.29742074012756,5.70730400085449,6.14535570144653,6.65116095542908,7.09995341300964,7.5739107131958,8.12053894996643,8.44146132469177,15.3816044330597,26.0491943359375
4.74464392662048,5.24656772613525,5.81010556221008,6.23974800109863,6.6610803604126,7.04937934875488,7.46547150611877,7.9880473613739,8.52803611755371,15.3885245323181,25.7918472290039
4.72617816925049,5.33184266090393,5.73999261856079,6.098801612854,6.69195485115051,7.15698337554932,7.60956001281738,8.11444568634033,8.39193248748779,15.1448407173157,25.9523329734802
4.80498814582825,5.2657585144043,5.75781059265137,6.38808679580688,6.54589772224426,7.09500455856323,7.47715091705322,8.05345821380615,8.460533618927,15.3694360256195,25.9746758937836
4.75492382049561,5.25308322906494,5.82309365272522,6.1952645778656,6.63588333129883,7.00608515739441,7.49832034111023,8.06039214134216,8.42924070358276,15.1381840705872,25.9727458953857
4.77790927886963,5.30334544181824,5.74502468109131,6.25528979301453,6.63135004043579,7.17666029930115,7.42957758903503,8.03171014785767,8.31196856498718,15.3371658325195,25.8527362346649
4.67867350578308,5.2137086391449,5.78212571144104,6.18807601928711,6.7198920249939,7.08835482597351,7.63104200363159,7.94023442268372,8.29486012458801,15.1530339717865,25.9497129917145
4.74350595474243,5.25059986114502,5.78344893455505,6.25366115570068,6.67179822921753,7.0664165019989,7.47702217102051,7.8888943195343,8.35478210449219,15.259997844696,25.905072927475
4.76775789260864,5.2796835899353,5.74509406089783,6.18497085571289,6.62989950180054,7.10832905769348,7.49496340751648,8.15159678459167,8.42367768287659,15.3417174816132,25.8207168579102
4.6863169670105,5.20151948928833,5.69998335838318,6.18331360816956,6.60442423820496,7.15707468986511,7.59996652603149,7.96099328994751,8.42469215393066,15.1719181537628,25.9662961959839
4.68164706230164,5.27646064758301,5.72823238372803,6.20204496383667,6.65044188499451,7.12710785865784,7.57422947883606,7.99704456329346,8.53914928436279,15.2158904075623,26.0619826316833
4.83950471878052,5.26989960670471,5.73839473724365,6.17434525489807,6.75582051277161,7.1230616569519,7.55846309661865,7.97351145744324,8.28148221969604,15.2665174007416,25.8416037559509
4.77370476722717,5.26575756072998,5.68405032157898,6.17861247062683,6.57373714447021,7.10846447944641,7.52104353904724,7.99975156784058,8.41603565216064,15.2763338088989,25.9823005199432
4.76862812042236,5.3165020942688,5.76538896560669,6.03571844100952,6.5759425163269,7.01690435409546,7.48308038711548,7.98903965950012,8.50500059127808,15.5040798187256,25.8512122631073
4.80348014831543,5.21634483337402,5.72568225860596,6.24046301841736,6.66819930076599,7.04034519195557,7.42134714126587,7.94422841072083,8.54676508903503,15.2856254577637,25.9744591712952
4.80994963645935,5.19843435287476,5.70511484146118,6.13945984840393,6.57048034667969,7.09828042984009,7.40577387809753,7.90685272216797,8.37775206565857,15.3808460235596,25.9630274772644
4.80160546302795,5.08642816543579,5.72145104408264,6.2049868106842,6.69331192970276,7.09063839912415,7.48353314399719,8.07203602790833,8.5039267539978,15.2381370067596,25.8679842948914
