"","n=10","n=15","n=20","n=25","n=30","n=50","n=75","n=100","n=500"
"20",1,1,1,0.84317203199613,1,0.0143511296206593,0.324898732035733,0.986751527946698,1
"21",0.375314648346897,0.989772538916218,0.0187259566298928,0.0651146624874044,0.0951312705152907,1,1,0.824144790794274,0.0156575534676405
"22",0.423631501016391,1,0.164987512821888,0.878077051221476,0.227016006995857,0.0362991378902532,0.754561878902706,0.149899752719909,0.0464336054299901
"23",0.0880344458481295,0.801584191657379,0.162124471917819,1,0.215068962418955,0.122652553051345,0.0217313032051225,1,0.533005728385976
"24",1,0.208780243825826,0.33791471820898,0.695095266981814,0.0183056940596265,1,0.0339363557517694,0.0215985369767362,0.991712370319958
"25",0.37026430206537,0.543748167549484,0.744214303638388,1,0.776099966807964,0.0641453971625847,0.724356249344351,1,0.87566374922732
"26",1,1,0.31011753840346,1,1,1,1,0.400439973475274,0.104381741279061
"27",0.569502516546306,0.0681140270665195,1,0.237740336085858,0.663343636035738,0.584894874403017,0.0240721025629459,0.0213636357338789,1
"28",1,1,1,0.677529579966656,0.0554217514275657,0.0811448710515904,0.838960424963256,0.300842761300801,0.0659182804592511
"29",1,1,1,1,1,1,0.264099581433696,0.0343263691189004,0.0125331290621866
"30",1,0.892389953526212,1,0.455025873373622,0.620708565134623,0.979202031851517,1,0.952505516220662,1
"31",0.142450656597765,1,0.0145004510905404,0.181272431173854,1,1,0.0471749496662093,0.108173532658891,0.582192606099793
"32",1,0.969912321437503,1,0.138841604959909,0.465594485857707,1,0.251787856684719,0.0856454162576716,0.0361809079158786
"33",0.155496211829971,1,1,0.917055311126321,0.0164525781662501,0.0245031155454665,1,1,0.401278154706353
"34",1,1,1,0.205123183544847,0.449124322799915,1,1,0.0824939301352602,1
"35",1,0.120285988519435,1,0.0596985503884359,1,0.0262754013704307,0.436227156515128,0.048873208528835,0.0178028726683928
"36",1,0.17396214792746,0.239263346208444,0.0271829420867036,0.0799144769865763,0.0094273043474558,0.612893078123762,0.489610421461702,0.916659735476272
"37",1,0.0649330337074229,0.108712518637708,1,0.0132893423421144,1,0.107796646009056,0.770529715091284,0.00961153789185822
"38",1,1,1,1,1,0.155472205928218,0.985810674221688,0.667587910351938,0.151425663504331
"39",0.117326074453785,0.19262826553864,0.509578593341282,0.710944436508403,1,0.183140761780377,0.0106648263356998,0.117588209117049,0.371914105147558
"40",1,1,0.894986061770815,1,1,1,0.0114439017885066,0.0439390711976103,0.200328159308721
"41",1,0.0256527217960765,0.156258841445268,0.0322247233808571,0.613560574567465,0.575415657714958,0.014134210649651,0.16654291554282,0.0144320793579076
