"","n=10","n=15","n=20","n=25","n=30","n=50","n=75","n=100","n=500"
"41",1.96873441424354e-05,2.77975929103439e-07,1.90416274182619e-08,2.73585352470949e-13,8.07670052873819e-12,1.34490244067605e-24,3.09844502401747e-34,3.60286168323768e-44,4.637039947787e-221
"42",0.000459241479068667,1.2774697740552e-06,7.46262662974388e-08,4.13047253374313e-10,5.11433232204063e-11,2.85897721303166e-22,3.63774790472332e-32,3.84576714188275e-42,2.61056475905818e-218
"43",5.46467728581285e-05,1.43032217785142e-07,1.12538271126281e-09,1.38515344192868e-11,7.34210630844554e-15,3.94575872864209e-21,2.26418161261923e-33,1.98455177221535e-44,7.06471394786688e-214
"44",9.46623539326993e-07,1.80431350468199e-09,1.29172749838101e-09,1.18815901571559e-10,2.3381038350036e-15,8.86665363234731e-23,4.01016986627877e-34,1.86999672760974e-45,3.53827854791285e-217
"45",0.000193657415568224,1.27176402618373e-06,2.36119874346121e-11,5.93560535855512e-11,6.53599970879824e-12,2.39008378342111e-21,1.20262102616721e-28,3.06184568863227e-40,1.0790758356279e-226
"46",0.00264849043838978,4.68750898920321e-06,1.18311282222964e-08,5.40326150410535e-13,2.55686264308885e-14,2.11959278865189e-20,1.64288108687388e-33,1.40269920023624e-43,5.07305043336437e-225
"47",0.000475461865340465,3.33058544238817e-05,2.77942324959364e-09,9.66946254316804e-12,1.85287377686472e-11,1.06512468839802e-22,2.25709183435547e-30,3.12196510441239e-39,1.33195998144966e-213
"48",3.63081419259759e-06,4.05607551579653e-07,3.82231290423747e-08,6.9529644766268e-14,1.10224508106592e-15,2.7291110306814e-19,8.71631442974674e-31,9.24076765865513e-43,1.15966951300166e-220
"49",0.00063051482504987,6.50437634033421e-05,3.53979807462714e-10,5.41088954975355e-11,1.67133073269771e-11,1.66530155707457e-23,4.39218312536387e-34,1.58900757412208e-45,2.15149824151681e-212
"50",6.71903509199665e-06,1.75714982447343e-06,6.68586080200956e-09,2.54629866811961e-11,8.20914574635784e-15,7.87826177798508e-19,5.91977691501705e-34,4.20204471977075e-45,8.20050649345139e-218
"51",1.13906154302585e-06,5.91153750923306e-06,1.82175536623708e-08,4.68978188230622e-11,7.80737124933128e-17,2.0331450949647e-24,2.50835661746306e-30,2.85995265089269e-43,3.05087875630825e-216
"52",0.000511012875586764,4.97575157413464e-05,1.70827755406844e-09,1.61808555234374e-08,1.7046626305414e-12,1.27309355426405e-21,7.10595986973448e-34,6.08095351799301e-42,6.36275508100241e-214
"53",0.000106300534692732,2.01511711470999e-06,3.42092602961505e-08,1.7581591456881e-10,1.31504524276971e-15,3.41192494595527e-25,7.31364259715014e-28,8.48674747083524e-40,2.53563587860157e-219
"54",0.000121369691223827,5.13578198891561e-06,2.70690771249732e-08,4.12667303276118e-11,4.13762983705973e-15,3.50955288567397e-21,7.22615241019839e-34,2.34766539061979e-45,7.58958387771373e-220
"55",0.000125016729554615,1.06467436775903e-05,2.71710913929378e-10,3.36316277947321e-09,7.48932850493734e-13,1.88795200797922e-18,4.42842334937261e-27,1.34662839236573e-38,6.1188133889717e-218
"56",0.000227183804700527,7.65808808496885e-07,4.22164632100201e-10,2.20357353326029e-10,4.07617338389882e-14,7.06480527264778e-21,6.37242143093412e-34,5.9134650893236e-46,1.63806194308188e-217
"57",7.53140362617405e-05,3.27924191594994e-06,8.67589985502747e-10,5.1357467108743e-11,1.17313688256466e-11,1.10148639439841e-23,2.77889326023406e-30,4.40816445654297e-46,1.33950216297695e-221
"58",0.0001195666028981,6.44619117237386e-06,2.37574544821661e-09,3.71394595516673e-14,1.03508963596934e-11,1.6081516617388e-22,4.90798855548746e-29,1.81042085824866e-43,1.09392183495196e-216
"59",0.000239210300922798,1.81415981552032e-06,8.3227667307331e-10,7.64748604563835e-12,2.88363235337432e-15,7.67933747160996e-24,1.23017012751211e-28,2.06342300666119e-43,3.03842694467577e-228
"60",4.28136805630014e-06,1.21219662202316e-05,6.02506484636583e-09,3.03403242620253e-09,2.4078931528542e-16,5.59736857124827e-26,1.23965028397957e-30,1.18869903610096e-42,7.58682329084642e-220
"61",6.90751668693227e-06,5.7891984685325e-07,4.77281042811019e-10,2.3018755291728e-08,5.90414679091331e-16,5.63083239924138e-21,2.90526501499261e-32,6.57767925983483e-43,1.1745965929071e-211
"62",8.15260587457364e-05,2.35179769078027e-06,1.66502862452943e-08,3.56768347847995e-11,1.56965488963887e-13,3.06797592160356e-20,6.82588685183036e-35,4.23570943977219e-44,2.19870743237939e-210
"63",4.86599988975764e-05,6.81428110911213e-07,2.93621482001369e-08,1.12521256138112e-10,5.84633339433924e-14,7.11190569368123e-22,1.09026206105385e-35,9.46375936010406e-45,5.76055841717036e-209
"64",0.000106754527149357,2.19627753687155e-06,1.37543918172054e-08,1.27397361282562e-12,1.87949175812823e-11,7.98232686528559e-23,1.18499231772997e-32,4.45481219974843e-42,2.93307068463281e-211
"65",3.90394984695447e-05,8.2249365407228e-08,2.09282286473355e-07,9.2334170721677e-12,1.39475938720359e-14,1.03977703241155e-22,6.84166629185802e-34,2.40183232763597e-45,2.23496948434064e-222
"66",5.90144756939835e-06,1.21707657949762e-05,9.45291422890001e-10,1.74852939979242e-11,2.57218895671759e-14,2.21394203565919e-23,8.11993731362953e-34,3.27406527611463e-39,7.90953912719122e-210
"67",3.04876120014959e-05,1.36212133195495e-07,8.54220671487617e-09,1.37813565634156e-12,1.35215101066192e-13,1.51797937062704e-23,3.948860694198e-29,4.33368982932599e-46,4.56299458488306e-230
"68",6.06690327332236e-05,5.87742060246266e-06,1.02352333710762e-10,1.08748117063899e-10,8.10957759315749e-12,1.36654477818659e-20,3.46171394239225e-34,4.55059653158819e-38,8.82579278611229e-206
"69",4.05187273812306e-05,3.64120844401257e-07,2.70948918102151e-07,3.77563839150789e-11,3.72869986316313e-15,1.5063650534404e-20,6.51865144631527e-34,8.84342014298868e-43,1.55863212613005e-231
"70",6.39740640596325e-07,1.08281028049436e-07,1.04919723784979e-08,6.6584943663318e-11,1.44196449905561e-14,1.26447794226359e-18,2.12494905401159e-35,5.44645581913907e-42,3.93756703111267e-220
"71",3.5887735774088e-05,9.50173060080735e-05,4.3760706819852e-10,6.1392239535375e-11,7.68031210818961e-13,3.08573044286343e-22,7.07408831806949e-27,1.74214459197393e-41,2.09831873383497e-214
"72",7.4488930543142e-06,5.05268003752348e-06,2.77617089543546e-09,4.47188010739918e-11,3.48073372734343e-12,4.62176276569861e-23,6.74476711717686e-35,4.83028248269333e-42,2.83332319324407e-211
"73",3.26342160024991e-05,2.90784636250175e-05,4.96886597580893e-11,1.25942257653316e-09,7.71943323595369e-14,2.44205326322184e-19,8.62826877970394e-30,1.33984166288124e-47,6.30946820991102e-226
"74",0.0011492943633545,2.9197565184244e-08,1.17782185924734e-09,8.76533129900671e-10,6.12528059440219e-12,2.42142668171882e-24,4.99001625079049e-32,4.07120886888224e-46,1.28183155403641e-225
"75",6.21593747385026e-05,2.95824206045366e-06,1.60855854170743e-10,2.67445639390628e-10,3.18597670911349e-12,1.74292130771513e-25,9.11287284123335e-33,8.45110104308503e-42,2.43988120721451e-218
"76",0.000124964994046629,2.98840513025648e-06,2.30196778833062e-08,8.2755432601742e-13,8.64610741448864e-15,4.86446112934111e-27,9.48705266103409e-38,2.31069131076124e-38,2.13578564586845e-220
"77",0.000123246407402542,3.54173468925901e-06,4.33938765347319e-11,4.18330444980661e-10,8.32711430020811e-14,2.37511541190884e-23,8.91534706231824e-27,2.35195823342463e-39,2.20398977168031e-222
"78",0.000621577828487026,6.36361150445944e-06,1.1996105126776e-10,4.69662021095276e-11,6.52465520455925e-14,1.78713083711356e-24,1.67673016736747e-33,3.0646379566621e-39,6.23687066452119e-214
"79",0.00020722099893931,2.41238775720764e-05,8.46446004951927e-09,1.03284527883861e-10,1.06029703097685e-14,4.43866252024545e-21,2.23419164759908e-31,1.86441305727578e-48,1.29729226643506e-219
"80",0.000279191403596746,3.58819136962716e-07,4.05995780655622e-09,4.97336620582454e-11,1.04730409674981e-11,3.51711725822163e-23,7.25152008847431e-32,6.87196589200163e-45,1.60598328978871e-225
"81",7.32740153811379e-06,2.54613345466063e-09,1.0198508970193e-09,3.04058547887333e-13,2.09265959354707e-16,4.70180931042891e-24,4.19154384817688e-31,5.11754842279551e-40,2.16419625524101e-223
"82",0.00194852583838819,7.62417074831897e-06,1.76354415191975e-09,1.89275978705418e-11,4.43695196620601e-12,2.19073795453715e-19,9.04540396174371e-33,2.79383492498547e-46,2.01347546195329e-212
"83",7.58599091241207e-05,3.31355449755445e-07,2.20473643651635e-11,5.58424083193398e-10,1.0408642189267e-14,1.34314568498334e-21,3.09986744470848e-35,8.87309736361976e-44,5.90771025057018e-220
"84",1.77157005421039e-08,4.67531165909399e-06,5.36504595122131e-09,4.63342818578197e-08,1.94470981900077e-12,8.90685945280037e-26,1.22182633562739e-32,4.38399155108287e-42,1.44919880255777e-212
"85",0.000174051101059391,2.5041006166465e-06,1.63390908599242e-08,1.07179318417559e-11,4.09990764295515e-12,3.3548958458502e-23,3.1995615767108e-37,1.2352829009344e-42,1.64852899132424e-224
"86",1.25992827658358e-05,5.2440386325522e-06,2.30246532914866e-09,1.63725257239644e-10,2.72763293344708e-13,6.83993088132969e-23,6.01276872251777e-38,2.10552471334795e-42,3.35107968164363e-214
"87",0.000305947358058372,3.47173166814331e-06,1.25785870077651e-11,6.43554632701153e-09,2.56767172691261e-15,1.70633204522615e-21,6.11820836731511e-36,1.48621491031643e-42,1.04550519510796e-226
"88",0.000614255458982576,2.71731922028498e-06,5.44472564957954e-11,2.60829734917882e-12,6.71060382091186e-13,2.79227381455508e-25,1.69706732630403e-32,1.85777740820228e-40,2.7047853741334e-210
