"","n=10","n=15","n=20","n=25","n=30","n=50","n=75","n=100","n=500"
"1",0.087698345550711,0.890546467378545,0.795586309002271,0.21668649046068,0.000940935815316145,0.00291112515755453,0.100976755300669,0.534934611278811,0.319524402764522
"2",0.0989467807487794,0.125795482598306,0.00148463215751085,0.00635451510358531,0.357522352952894,0.00868571000582465,0.675907797527619,0.510825691759543,0.303221207199658
"3",0.179204538601751,0.0825006199595874,0.00216366172347139,0.0126290985293347,0.138935107091957,0.258604294174783,0.598307112271845,0.0005078997316688,0.0137254189795463
"4",0.707548497998821,0.0215104025985545,0.290752332140726,0.0106212762647402,0.0139836417099503,0.000757194769536794,0.000630961240019748,0.000584411305694061,0.000673122556634619
"5",0.0412942696058751,0.177939261266741,0.00635006899799147,0.00188545935388835,0.592764774407662,0.0430069179519865,0.289589520326952,0.0031766165216689,0.628114283820047
"6",0.0152970695247736,0.0728616587605098,0.00144230863530622,0.016270469388639,0.749777501186493,0.000539088061806542,0.000546749210204067,0.0268126121882361,0.0608705422440892
"7",0.277924919379772,0.198627616931826,0.0239998576050738,0.0106824744048675,0.446953606152778,0.265312495693705,0.0330845022508309,0.122684255538193,0.00592372109862746
"8",0.404466752536307,0.149696059441935,0.262666424354299,0.788235942052147,0.638899761538369,0.052010937322327,0.00352198889108049,0.492835130689423,0.000642435392389516
"9",0.588552173598541,0.552514156935015,0.332981186781161,0.0193540897422771,0.188875759443242,0.129632373181449,0.0260391968889381,0.000512322968429705,0.0390843345503624
"10",0.160970125458638,0.440742328701485,0.0087547459349086,0.00218237115270165,0.00149288691806126,0.000599018657292907,0.123159335326329,0.000523217931157127,0.0111842469471958
"11",0.0526246306511217,0.00159156815114064,0.144311671165897,0.382744420959242,0.00150069943910833,0.0655598027740654,0.199087928258326,0.404463290081162,0.298264966335175
"12",0.172622329911746,0.120338091636534,0.172630872869902,0.619038917188101,0.0031570871920074,0.00137349791426159,0.000729654471842839,0.103434185260964,0.0102534979842683
"13",0.0392554017802354,0.285790033085373,0.864253378286172,0.00239465223545451,0.18563792485487,0.0340530752017605,0.011715793272494,0.0735837030034248,0.0115068102013242
"14",0.0547081960841368,0.0446323203844931,0.216637659260033,0.00323699995076103,0.000560329183400262,0.00133884389184494,0.000505884415200397,0.00145338836973659,0.0187408960119893
"15",0.062014157717096,0.218156531273666,0.494904366613257,0.0124829547713578,0.151877489268549,0.000542958208817648,0.00326535120992518,0.00237616973347909,0.000703691779820173
"16",0.117409111081736,0.647374695664806,0.00199740367562847,0.762463204407908,0.00207188656962677,0.000852628505698741,0.000582526939063575,0.000547155001028603,0.00058377140401834
"17",0.063860907261564,0.0108458039214776,0.050112901560996,0.0173374289558454,0.0564872867563288,0.00080090781381812,0.0415086572120146,0.000576459718224041,0.12957192175283
"18",0.0345353440461728,0.742907036251523,0.247949716342271,0.773880588499658,0.608767970083251,0.00739782304618932,0.601561627280004,0.00050251291859933,0.00068091248043249
"19",0.0244932103831756,0.0172660722788341,0.00125920689399708,0.0193390028483253,0.484533224223829,0.658697139035442,0.0198336803232493,0.0216909270514201,0.00213545494482621
"20",0.573475264659395,0.124585300714967,0.00563576385362733,0.0554508879115045,0.31593396204418,0.000530705340577092,0.00074075338918134,0.0158162458403429,0.0027047832017514
"21",0.0188104484477542,0.120529817321014,0.00109404553124684,0.0014013744616772,0.000788874045089324,0.00609430052475915,0.718163870520347,0.0150736976397511,0.00053304904052833
"22",0.0334079923315065,0.0870254175301804,0.00870032579016465,0.0627989827454108,0.53581381113232,0.00742781499324161,0.419987442615291,0.00310542943362526,0.000625429886241249
"23",0.0191247793772343,0.101707649436563,0.3384199442498,0.149395918566727,0.000775848089334318,0.082017474057978,0.00050278828830065,0.0784361715743914,0.784211319906949
"24",0.140635652761445,0.0463790957738857,0.0974145224769375,0.0313776720721591,0.000620644707798617,0.106873152569139,0.000507307711839149,0.000595544635263226,0.114785849828963
"25",0.0409512899161358,0.0648029840642005,0.128970434215823,0.528453688928504,0.720218227424248,0.000599334734830554,0.977944463294278,0.645131579034445,0.739131080369046
"26",0.0307566424179915,0.598463230111439,0.0135058367340826,0.0285917861010065,0.39400327482543,0.0321857211232399,0.252314325373195,0.0084987097714882,0.000581395779283309
"27",0.0538335340694338,0.00437572737476177,0.802838191919207,0.295417370419123,0.00148171340349392,0.0763690766397609,0.000545862595755662,0.000523633095301091,0.153923279819953
"28",0.0163878478348363,0.0127294687646605,0.366862893049857,0.0610627218429454,0.000644098066503195,0.745270518013432,0.0109721526053438,0.0580766594144657,0.000637526423796797
"29",0.719646901124841,0.221429845072,0.0450579858078077,0.343192996195041,0.188923085069456,0.03015424482713,0.000537408253500675,0.000513669012302695,0.000547345377383902
"30",0.184904988727665,0.182285359505204,0.0196441475623548,0.0496303418840293,0.02970193476887,0.0903990125386839,0.7671702999096,0.18096850025072,0.765213499632746
"31",0.0317997195013345,0.473460771159769,0.0140087955048404,0.00160861156831872,0.00432823727226045,0.507755615245485,0.963442683665489,0.000834423802696409,0.0817697461619935
"32",0.268489848591526,0.00429453880186066,0.683927024054249,0.00191013789052711,0.00164275308218535,0.564090062640315,0.00102540891235602,0.000757517260232154,0.000715509538201741
"33",0.0303388313577581,0.0710810956868283,0.0333500558521441,0.0161796544238175,0.00111188310286141,0.0020749314276977,0.0166948028818746,0.192721204711091,0.000713805586764862
"34",0.714857210776793,0.00589607287299141,0.13793863448765,0.00272272771874538,0.0334648399075616,0.093531424361152,0.268955340040339,0.000540991363932169,0.0518770956782109
"35",0.145475244917428,0.567772283595732,0.267559596571775,0.00529790895675851,0.289918360453323,0.000589219801960698,0.0153181128305974,0.00733878860705644,0.00060533058496713
"36",0.0847416247051423,0.0113248503408904,0.00352935104808513,0.0671325327765699,0.000680417046210321,0.000502683561224869,0.791336921766211,0.145167907688802,0.559144026292756
"37",0.0898834758651214,0.00501965522257878,0.242936071436919,0.61905881296175,0.000510923692791762,0.365048762028568,0.00192645156903563,0.899455835228103,0.000507872016251906
"38",0.391080070216515,0.153489358571569,0.365325913635652,0.13222178701971,0.719739489562769,0.0520707827561488,0.0119049062958307,0.00164213901590611,0.00903620061140669
"39",0.0110537589631524,0.0149077196572954,0.0108701183618754,0.989126004503879,0.0713496090126242,0.000713280239250347,0.000505155232779206,0.00153993769669557,0.182820834147809
"40",0.0152240521470189,0.647949001660094,0.198726376100662,0.0410590434854248,0.380990693921576,0.0140620229307736,0.000554428385625561,0.000553747279579397,0.00359947486582008
"41",0.163491734531622,0.0252695383205048,0.235942807265862,0.000742167642840701,0.118065648970792,0.00400434651156547,0.000515323696639647,0.000911685938083653,0.000579710315586508
"42",0.111078842691509,0.0106162371570955,0.00717740184870547,0.169487506394487,0.0722182651739476,0.00512432535237067,0.0447822886148851,0.00428784390587949,0.0006020587998176
"43",0.0336528673433816,0.0113146993308355,0.00744032281296562,0.00155312466259736,0.00126231822886093,0.0320217835899871,0.000506184914655462,0.00139655558709556,0.557648768563743
"44",0.010133729901647,0.00404974807355298,0.119371845177474,0.395460080904227,0.0042637863898286,0.00272537899297745,0.000602421793574695,0.00472790813897448,0.528578355158972
"45",0.321319082800618,0.0058497723364209,0.00291154598550523,0.00323074140059846,0.434270981059707,0.218684071221039,0.00575827151607193,0.507180072392157,0.000837992877071711
"46",0.970482762645532,0.501729837406358,0.1638236690375,0.0171036748379993,0.0565995166913503,0.0945646382986094,0.0333554083569876,0.109478275491265,0.000561167236737592
"47",0.0678116174030606,0.756854102342036,0.0428525115734014,0.00116821207416437,0.444578279122369,0.0833617708711213,0.00112919303238874,0.00166915217477088,0.000599888136799487
"48",0.0133159348546414,0.00697729649974902,0.37785790344842,0.000872782952939299,0.00171359610587798,0.000740935800604211,0.207656771611102,0.000592281977745087,0.0093501378310205
