"","p 1","p 2","p 3","p 4"
"1",0.549266592240501,0.302628550820857,0.200703403092172,0.566865165781568
"2",0.571416026135339,0.837134627224957,0.0217572551167309,0.964084829144483
"3",0.520647669868255,0.318468224381034,0.279227967542227,0.234816363469955
"4",0.683196871121006,0.858500613050839,0.503859723196073,0.395655330958678
"5",0.729445236957603,0.15096259330395,0.164960194615322,0.0563039552960864
"6",0.850379162880626,0.803085266499317,0.813857694696575,0.0938993947035062
"7",0.389763472468244,0.0696274220009359,0.54644161408921,0.476567742405564
"8",0.173376315010378,0.332343075512485,0.188838954313111,0.0821540490129585
"9",0.0125051068151742,0.312115553543546,0.950612698601847,0.939381575025175
"10",0.0783787593073794,0.241521280968344,0.0295072512451776,0.990231014919039
"11",0.205661865028638,0.758837536005005,0.119736618248212,0.657014042791734
"12",0.601702310953838,0.0133167153923726,0.652303346590094,0.504484349060698
"13",0.0341029217891614,0.2853508684002,0.808511780378574,0.43010118667644
"14",0.13082837596662,0.289415674283213,0.0462262356629138,0.0696290978905038
"15",0.0829705893102487,0.83963886746003,0.608734781258142,0.0162581473967759
"16",0.977479833450819,0.163270036580841,0.666289056055645,0.179795454977849
"17",0.679159533785327,0.244090955559216,0.0523128833471396,0.0046470114075533
"18",0.966412441421942,0.903122918030461,0.557225242829188,0.00773636520652965
"19",0.0778509582230817,0.517926949009655,0.134609290213845,0.807342294605416
"20",0.503292927145378,0.596980806235617,0.363894973094956,0.882299763302526
"21",0.966309618257004,0.0639281147623016,0.649117400179279,0.210836835231567
"22",0.449576046836636,0.583353459576494,9.40962699214065e-05,0.0381811166457338
"23",0.381429738960579,0.146021656806886,0.485567606934893,0.985216677976944
"24",0.00859184763091725,0.280622828166642,0.671148042564799,0.338101968740414
"25",0.321472487595126,0.131531971031665,0.031355197440778,0.104248016041062
"26",0.893534551512466,0.300691898597887,0.801459680874579,0.183423425921779
"27",0.78302544290086,0.834614425537181,0.959623438716881,0.162438189462449
"28",0.697225660214733,0.18850747190195,0.0519155823676083,0.724466248040583
"29",0.42978280690899,0.00593336858815774,0.450152149023604,0.630616826837731
"30",0.821837482756741,0.762434344539379,0.0965990757026303,0.0907192649058544
"31",0.0575736918457549,0.000975837611926433,0.656300771500163,0.429957139858477
"32",0.173706456670651,0.938579223810898,0.527371487393309,0.589953427849153
"33",0.155326808595902,0.0162941561642054,0.65436798964329,0.0278595463273716
"34",0.0415675120470438,0.632473833142708,0.496023611554815,0.500399461222771
"35",0.136355559986907,0.779390792453241,0.374005389247561,0.36200759276178
"36",0.217673770001174,0.230117226017726,0.400165232020821,0.303405804317472
"37",0.194646313002119,0.189238455360623,0.128536434276171,0.392505926607152
"38",0.181636637247365,0.573889672131607,0.50874671560866,0.214524098640098
"39",0.917914014215428,0.528910860246165,0.620608095167537,0.543886040400408
"40",0.118407885391581,0.792212452536715,0.748833772918784,0.0764242037024974
"41",0.788291900474244,0.622303254222318,0.988975280102955,0.97007632556862
