"","p 1","p 2","p 3","p 4"
"1",0.000773834976250609,9.32011069187944e-06,1.02419957281885e-06,0
"2",1.24129768142023e-06,3.75837360910847e-06,8.37568047873383e-06,0
"3",0,0,1.68504842731343e-05,7.24964820286722e-06
"4",1.20596031738529e-06,9.36183015554093e-07,9.72436139934363e-06,4.08973212595587e-06
"5",0.000192083049222469,0.000334828108772722,1.79683218286542e-05,5.38497664687165e-05
"6",7.35715640887147e-06,1.3184387783749e-06,2.42398316285808e-06,0
"7",5.47901739156309e-06,0.000132742792609442,0,0.00183388990279654
"8",3.54761438392526e-06,0.00114568905732759,1.49777221457592e-05,9.61258456633196e-05
"9",0.000166182411516114,0,5.83995128022874e-06,5.75882083198032e-06
"10",3.53766206450112e-05,0.00141540190137701,0,0.00350901039965679
"11",0.00516661583277189,1.2004546757316e-05,1.67371577264319e-07,0.000687753325456453
"12",7.37128087013872e-06,0,2.07365197952836e-05,0.000239363339966436
"13",2.31460391997285e-06,8.30887482620168e-05,5.28029985080725e-06,0.000134302477098891
"14",0,3.4027616140353e-06,0,1.68539660418965e-05
"15",6.89248372180984e-05,0,0,6.68514249846375e-07
"16",0.000107093583339712,0,8.5490680290512e-06,0
"17",1.3574822160356e-05,3.45047397698472e-06,0,6.65667555455052e-06
"18",0,0,0.000250545151799786,2.95140468398181e-06
"19",6.26866599007236e-06,9.97904060540122e-06,8.38561052540765e-06,0
"20",7.37155376950849e-06,0,0,0
"21",5.95743096032386e-06,3.95413581855131e-06,0.000168134833724354,0
"22",3.75337864899628e-07,2.98257309592209e-05,0,4.24631189239744e-05
"23",0,0,0,0.000637448061850177
"24",0,0,0,0
"25",0,0,0,6.08351882914748e-05
"26",5.44025901805245e-06,0.00110859933657226,2.25141579757171e-05,9.54607887815317e-06
"27",8.32066950295918e-06,1.73502765272726e-05,1.5988924617405e-05,0.00120856274639181
"28",4.09172369286726e-06,0,0.000296623135185636,2.34524498854416e-06
"29",5.03062236834051e-06,0,5.99462703809728e-06,0
"30",0,8.17119338303307e-06,0.000145558206369634,0.000144387399801271
"31",2.22123585691403e-06,3.75340599912954e-05,6.33390910218523e-05,8.48315609780492e-06
"32",0,3.2165714141108e-06,7.8144383513834e-05,1.45024064435173e-06
"33",7.73235211304346e-07,7.69765430481684e-05,2.97709014973613e-06,0
"34",0,2.53728263466257e-06,0.00082744550113234,0.000256642926501183
"35",7.0469876944923e-07,0,0.000472494998818962,0
"36",4.96203886735103e-06,0,4.13689005118734e-06,2.95936852426903e-05
"37",0.000407672336431686,3.90014716182829e-05,9.47433637019657e-05,1.20308442541628e-07
"38",7.17785581816344e-06,7.67454230743425e-06,0.000961631214515979,7.13123986044728e-05
"39",1.67662897816445e-05,0.000248271873135475,0.0507878775352383,5.88683470836848e-06
"40",8.96178341081022e-06,0,8.53466944017445e-06,0
"41",0,0,0.00245773245773351,0
"42",1.2683067923458e-05,5.21675685061229e-06,3.06119911859248e-05,4.90342318711923e-05
"43",0,0.000177665925665149,0,0.0351349775213341
"44",0.000240575429715228,0,0.000252207289966111,2.39774071508769e-06
"45",4.09103569390945e-05,2.70086771798628e-05,4.63973058295597e-05,8.49845884898226e-06
"46",1.5082769013075e-05,0,0.000455313643967337,0
"47",8.98646374003498e-06,0.000389268027266465,1.93532284742393e-06,0
"48",0,0.00045216766773637,0.00121247315847639,4.5679376328156e-06
"49",4.70103048179071e-05,1.18352983821124e-05,0.00030221520417939,0.000224082060962139
"50",0,5.50362628293222e-06,1.50737589389438e-05,6.28645082245693e-06
"51",0,0.00140497842904685,0.000159830680647732,0.000208402592361656
"52",2.00726781766081e-05,0.000170628657415461,0.00027005008730141,4.08542871133122e-06
"53",0,9.02729843564876e-05,7.83854853436683e-06,9.12092418803301e-06
"54",3.38631851992677e-06,0,8.07891890164392e-06,0
"55",0,3.80025072876933e-06,3.08744016430662e-06,0
