"","p 1","p 2","p 3","p 4"
"63",1.54898420203454e-33,2.06155978329514e-22,5.69589099637375e-29,1.11428554988975e-26
"64",3.15728363834646e-26,3.22324880991967e-28,1.61892223392367e-26,1.53576596457579e-26
"65",2.54057902156589e-24,5.89058796971064e-26,2.54429563242291e-28,3.05191922318592e-25
"66",4.2603455844911e-28,1.22010443055792e-21,7.36280861437963e-30,9.06166719947698e-33
"67",5.60543956398688e-21,1.53433414086824e-30,5.23893137469891e-30,2.18872748596237e-23
"68",7.14343224628392e-27,3.9186897370493e-24,4.40334617936639e-28,2.99305321866473e-29
"69",4.48117506046784e-26,6.53663547272784e-28,6.11791051857197e-30,5.62330993340555e-33
"70",1.51537735478062e-29,8.68392788015759e-26,6.0434166015683e-30,2.69366292417121e-24
"71",9.9445171108584e-34,2.31998694038029e-28,7.13457589163457e-25,2.24266857058938e-20
"72",7.87989613028032e-30,7.22985229372885e-24,9.32201252031178e-24,1.71308115008134e-22
"73",2.5161745200942e-29,4.51348327465004e-22,2.83116657674276e-28,6.69470463986562e-26
"74",1.32648381776231e-29,1.45836734356843e-28,1.36512122303595e-22,2.27488213495263e-20
"75",1.03769748289441e-21,6.98982670627828e-36,1.97329960328108e-32,1.75830708765357e-33
"76",1.62432896313634e-21,3.92486835033701e-30,2.23304427828284e-29,1.3900631062686e-26
"77",5.44933915082846e-24,6.81091068318718e-27,9.45684782383741e-27,2.76316960478526e-23
"78",3.75065717633609e-26,2.08644165604353e-27,3.72594470585444e-30,7.67375647080877e-24
"79",3.08250485770488e-26,2.64966641595507e-24,2.15319370104759e-26,1.22609157200267e-24
"80",3.29777567032476e-28,8.76089457519206e-33,2.36227717230771e-31,1.26317165586961e-25
"81",1.18330886429498e-28,5.80351558245186e-31,9.42677655174024e-20,7.24507102112628e-28
"82",1.29548778434973e-25,6.50468777157655e-28,2.18232939524261e-26,7.81868231797243e-30
"83",2.35124372515742e-29,7.86741524747312e-35,5.58250945408696e-30,3.69191103118633e-27
"84",8.91219895980613e-27,8.84786427350841e-28,6.15434733540578e-22,1.17350811303904e-18
"85",1.74424248616001e-20,9.09556501059597e-28,1.09487039877082e-27,2.99602941737415e-30
"86",3.70377107147337e-30,6.08593204126387e-26,8.47350718527038e-22,2.85815869630937e-28
"87",1.11271647479539e-31,5.12609015681585e-22,3.8156754803096e-28,1.77019949850283e-26
"88",2.09832665124743e-25,3.56078730150105e-23,1.18868599282753e-28,2.3785166720956e-27
"89",7.82508302189145e-27,2.08828139437616e-23,1.47816490221931e-21,1.20874935084313e-30
"90",2.75581776709772e-27,1.78360964721829e-29,2.83663917765045e-20,9.16458380548505e-27
"91",8.82775739694563e-27,9.12884704894609e-21,4.97689332816405e-29,1.68321600426429e-32
"92",2.51373290748646e-26,3.28595562950548e-29,1.97294908709474e-22,4.05997335281917e-29
"93",2.06145104282471e-23,8.10257193890545e-28,2.21431737537364e-26,2.24362056582589e-26
"94",1.66977649927588e-35,2.06517317773589e-30,3.43598246082261e-27,9.67004461208121e-28
"95",3.53620719273878e-27,6.57315941189173e-23,1.09177421630871e-24,3.62298395012285e-28
