"","p 1","p 2","p 3","p 4"
"1",0.251536762348443,0.0254255314560498,0.337612085394563,0.0012337761133319
"2",0.913166724555492,0.963708216019495,0.0133996865698399,0.628551154164817
"3",0.0829532052038239,0.734919054935517,0.312391474794031,0.0715047710312606
"4",0.811089689911089,0.720692996769402,0.107802862899903,0.53529724183108
"5",0.0136942126335362,0.0661858289784681,0.32424136551793,0.733380025832467
"6",0.069399761094524,0.0238786755287762,0.679111041598538,0.0194424063130192
"7",0.879059013524269,0.964378660745232,0.95098048856773,0.472149805465694
"8",0.685835880319194,0.93792749335725,0.752068491175745,0.779772216165919
"9",0.0341354590129619,0.312855977350144,0.327529970791991,0.0490144018519029
"10",0.930567612612242,0.962101355578425,0.974504706839242,1
"11",0.845366173622065,0.511560068708722,0.653632863517647,0.363141623085867
"12",0.35153399300846,0.0431661431803578,0.627487482685455,0.416702073408535
"13",0.725850728517,0.303095732598833,0.539626147241824,0.0172978052791804
"14",0.387169337984741,0.0742865472432991,0.0918906803582866,0.733433559952891
"15",0.104125038932872,0.00213639392996856,0.160978836965323,0.00280540290533868
"16",0.332652447924627,0.0293902620500686,0.588544303882779,0.271555124119391
"17",0.647698841885947,0.00143743233570869,0.271470964477921,0.184413144255555
"18",0.363155027851451,0.675121027485106,0.583027819627889,0.683672111882218
"19",0.123508799019014,0.438403521830953,0.4173092460315,0.60070505465339
"20",0.586873807620162,0.00133108928637825,0.00117425321905878,0.0349309786241954
"21",0.17138505197198,0.714887002471938,0.66823414541577,0.336462187540857
"22",0.379048350707559,0.340817191622891,0.0312050236414861,0.117106308504301
"23",0.820004317270052,0.0375751338751047,0.622089117598944,0.486066376695767
"24",0.0470179070812346,0.0838403575105089,1,0.225641506096162
"25",0.00841941004832197,0.294445914802593,0.018610528122081,0.041030195352218
"26",0.751404736208646,0.577278530745157,0.135625788994695,0.744456167875005
"27",0.79074324184681,0.0936735818054689,0.568434362468738,0.895012792206099
"28",0.061032513986888,0.621337775570692,0.85750749324169,0.229848952664477
"29",0.0136394627682556,0.240889477551454,0.3944160075839,0.587192983741509
"30",0.77397512644364,0.876270718193416,1,0.964600773350271
"31",0.885197268165963,0.900321655576953,1,0.0871319070659087
"32",0.564569870505256,0.0612830302717141,0.280813147114649,0.262725863812209
"33",0.023129630893332,0.181589810210937,0.482772411864625,0.126521314555384
"34",0.471912054783428,0.145774846255255,0.450127112564161,0.312098733758431
"35",0.397738000851487,0.0694178247304743,0.128837123820311,0.013466520911434
"36",0.212771059765553,0.0333338788752122,0.11265741175959,0.217505711010712
"37",0.48026626228381,0.910075875494256,0.113485207581202,0.106702670529767
"38",0.747195696080542,0.634283185027818,0.098571510933485,0.00402129189513343
"39",1,0.00151619442288492,0.937061158635441,0.980290601520583
"40",0.954820899863994,0.927992699324781,0.972456605882434,0.990654418333753
"41",0.127959747943216,0.0985985576731316,0.329057237328263,0.281800331363531
"42",0.168277004357587,0.988469851880871,0.92944991314744,0.982938601789243
"43",0.731437326604464,0.777489153270152,0.0072820738923216,0.219124448579937
"44",0.168207400663675,0.20140509526209,0.00236077271831115,0.470890576463888
"45",0.532584640135141,0.840544538925658,0.735414697347973,0.552591296190722
"46",0.0194517036158986,0.267015499964914,0.0626482627544298,0.266786219860597
"47",0.333726612066876,0.784304523143463,0.224164225525912,0.253564523208279
"48",0.0992730269788416,0.0465821606212407,0.678190955935977,0.387958600832202
"49",0.00273232962599138,0.0396263044830232,0.431267509718136,0.58007080727375
"50",0.430539351688183,0.0731466027634557,0.45182170134586,0.186589535832728
"51",0.0476341075243372,0.187054786297054,0.772587267658746,0.771844745329201
"52",0.389698592735048,0.802597667601239,0.980834709826145,0.00371434941788542
"53",0.115233973972985,0.24249261143766,0.546675708271682,0.00162959568748928
"54",0.604463744107631,0.225482981143757,0.529260592218325,0.848765038024041
"55",0.466942267520836,0.319915122382523,0.313789175302905,0.0256153541387143
"56",0.938961118293006,0.953527859534813,0.190496573246622,0.851060188254179
"57",0.283964372795218,0.246811139488151,0.114424201401269,0.454204121634126
"58",0.3887959940103,0.491081280736397,0.178693963819167,0.52166754096287
