"delta.0","delta.0.2","delta.0.4","delta.0.6","delta.0.8","delta.1","delta.1.2","delta.1.4","delta.1.6","delta.1.8","delta.2","delta.2.2","delta.2.4","delta.2.6","delta.2.8","delta.3","delta.3.2","delta.3.4","delta.3.6","delta.3.8","delta.4","delta.4.2","delta.4.4","delta.4.6","delta.4.8","delta.5","delta.5.2","delta.5.4","delta.5.6","delta.5.8","delta.6","delta.6.2","delta.6.4","delta.6.6","delta.6.8","delta.7","delta.7.2","delta.7.4","delta.7.6","delta.7.8","delta.8"
0.99065526292871,0.993184226920353,0.730922039700476,0.994298618878939,0.811283089798486,0.955486678988989,0.977008488044337,0.817284866884762,0.987752415030161,0.980443196409797,0.699081534922999,0.699674133109431,0.827874335948758,0.183584816646576,0.147637745834226,0.16405970846374,0.167517528267883,0.0172700439510494,0.000412609364868977,0.000158748406321352,5.16075932347482e-05,3.30657448212035e-05,0,9.78852111899187e-06,0,0,2.98981659430098e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.994978310763777,0.9919111045246,0.931618246289089,0.989687204257391,0.991277185589767,0.996521818605355,0.880718975527327,0.991456702956667,0.800981177959785,0.989014633780057,0.921126758868482,0.509518467303176,0.927219829372691,0.0146092344463417,0.0968364735797544,0.0392113856144927,0.0362256970178771,0.692264021279028,0.000270605003634516,0.00305020524353461,7.68054552439112e-05,2.28736383389716e-07,4.22372743846822e-06,9.06377168763406e-07,3.61457523856412e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.587674659184864,0.963902649712428,0.284219756902916,0.813745958888348,0.991187292876512,0.994102435338491,0.876528099465451,0.819610019201577,0.993497582964497,0.973150940567377,0.814426030307834,0.904594301075812,0.170696782361812,0.900533221455916,0.574646669413924,0.397275818429558,0.00463557634931988,0.0127588902200774,0.0322160814436501,0.00602586481366474,9.71275019323592e-06,5.67552043828634e-06,1.34971552838703e-05,0,0,4.76398873316963e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.935215123134008,0.724570826123446,0.383952827858492,0.974510665814929,0.994184486765818,0.956930967057279,0.992781043494353,0.651426914060549,0.992111581302242,0.892685366788548,0.592648547294207,0.934985705081774,0.987627304287798,0.895976796316755,0.362300895805139,0.131429574215951,0.0846980736599621,0.00631661729326427,0.129500788967862,0.000114162624366698,0.00301425336801975,6.40409639618422e-06,2.23818268807463e-06,1.25356375189067e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.981895170707489,0.971371727823499,0.991984396526783,0.645333875234301,0.992053166152374,0.991265663882391,0.980421564934573,0.867407447139526,0.705197660830795,0.991736059285746,0.986181378125158,0.828110334244246,0.890702225196608,0.357229289396308,0.186241860962289,0.383352555360755,0.00166773581657564,0.00118104975230837,0.267267883144955,0.000601568745394743,8.0360140885638e-05,4.58951384674222e-08,3.22981827072244e-05,0,5.33974768404111e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.992639653384986,0.623722949268931,0.800711713300825,0.976039330927209,0.971696091192382,0.92113696382389,0.995502154532471,0.992267219156538,0.900011802968335,0.346977697546982,0.906544597131631,0.906150306651365,0.837333122791916,0.250161520340857,0.357937270131818,0.26438694810444,0.0478831759933035,0.00422634201772365,0.0172130080525749,0.00125675088775878,2.92260113756715e-05,5.82158395245891e-06,9.82171159502609e-06,5.50568090462722e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.987436725839945,0.754074671749968,0.955117665684865,0.985247447305877,0.990537872016413,0.991814484864206,0.857714281366001,0.947528317871861,0.134641626166649,0.992419180501044,0.587489942566027,0.780194861143013,0.879470086741425,0.0809414694122504,0.779478542284987,0.44184899587568,0.133168090069379,0.0188917532736782,0.0424736708298002,0.000120489842031057,0.000734834223883429,6.69771316474943e-06,8.91070058350873e-06,5.66840003646263e-06,0,0,0,7.07021770829375e-06,0,0,0,0,0,0,0,0,0,0,0,0,0
0.905195310039363,0.972306519816144,0.991756672359254,0.961236554973754,0.968541690708876,0.88480641522305,0.621224491246352,0.992795172488855,0.87131508242334,0.991340860893895,0.771409736416101,0.936083333294233,0.444831810659949,0.725636499591629,0.177452837941028,0.336127705938308,0.127654637910025,0.730999791907273,0.0626738724172162,0.0130245269190695,2.14231690720545e-06,0,2.79104308164024e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.98816478717171,0.985891764814392,0.93790920520276,0.994086083368283,0.556481193484809,0.993377252761985,0.458793117959427,0.935023088371557,0.990050337493162,0.580787749141095,0.815858202805853,0.919368150516956,0.53772664619692,0.625447228543743,0.147129246333917,0.444290000923923,0.0137222639464031,0.0118476686842873,0.00469707681356402,0.00735334774058549,7.8850146395415e-05,3.75629959636914e-06,0,4.13647409036599e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.751898067730904,0.986987548602793,0.962358395833421,0.877049510597437,0.463614335557299,0.863539134263508,0.992533584223131,0.93755729396328,0.557578215315853,0.872797560264636,0.210359042661688,0.988569825756641,0.806306179295381,0.553450624847745,0.132799728524778,0.0153953255502179,0.00470560741161508,0.483930875500093,0.144987674211212,0.00156335606821045,0.0377145565617863,1.21232735136312e-05,9.38983521059367e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
