"delta.0","delta.0.2","delta.0.4","delta.0.6","delta.0.8","delta.1","delta.1.2","delta.1.4","delta.1.6","delta.1.8","delta.2","delta.2.2","delta.2.4","delta.2.6","delta.2.8","delta.3","delta.3.2","delta.3.4","delta.3.6","delta.3.8","delta.4","delta.4.2","delta.4.4","delta.4.6","delta.4.8","delta.5","delta.5.2","delta.5.4","delta.5.6","delta.5.8","delta.6","delta.6.2","delta.6.4","delta.6.6","delta.6.8","delta.7","delta.7.2","delta.7.4","delta.7.6","delta.7.8","delta.8"
1,0.891149068907416,0.118755386985047,1,0.411553432757384,0.0621951932159612,0.726722399856274,1,1,1,0.036656756400317,0.851198928335306,1,1,1,1,1,1,0.811339693321591,0.209808252652544,1,1,0.61948972572742,0.0462543258098665,0.2292076793615,1,1,0.0116847944205518,0.0137601864765228,0.00975477544944888,0.00872156432717639,0.00912628237819484,0.0092597189350304,0.03293907889084,0.00857291268637789,0.00881715141777164,0.00859675635899747,0.00867169582107852,0.00866342561107039,0.00885180970924287,0.00868080455233601
1,1,1,0.0240830633179605,0.311431856901727,1,1,1,0.548537105423764,1,1,0.43670272990293,0.668098734259015,1,1,1,1,1,0.122380284059395,0.21907600052275,1,0.0875657618620613,0.647680203586293,1,0.21172201769998,1,1,0.0110758420547884,0.288397948361866,0.0152795321241045,0.00860503215302924,0.00884742234369838,0.00951311032896819,0.00899888728122718,0.0847871567925889,0.00888739760592524,0.00906536476586211,0.00822602633663219,0.00871431183025266,0.00871283033938588,0.00877371008033459
1,0.230492380484235,1,1,1,1,1,1,0.63203725024081,0.705564562974001,1,0.423312522986777,1,1,0.167511775512429,1,1,1,1,1,0.751582088256606,0.0186483628917034,0.114612096636458,0.0507262259245289,1,0.261612788189421,0.13839350841758,0.0330275170279278,1,0.0114390868948211,0.00853722897571462,0.00939401652182958,0.00879052418766232,0.013072074015793,0.00913244204979213,0.00895870904692625,0.00855643208621826,0.00823309917115865,0.00889545452932748,0.00864736892084887,0.00851455584522009
0.172963447422867,0.848269233999847,1,0.874436594894462,0.0689643156219945,1,0.642555124217133,0.971444797434314,1,0.348260550379079,1,0.2110434743891,0.612067084933843,1,0.539144549579309,1,1,0.358160567540855,0.86379643968739,1,0.0438693724577197,0.790162935348708,1,0.0115486919042601,0.386651936175141,0.217584620707091,1,0.00995387994005205,0.0133031739885825,0.210937848891167,0.0124603658525839,0.143902245438016,0.00879080595225383,0.00818119035866796,0.00893216398051691,0.00900254362313875,0.00764114543683766,0.00875717974023655,0.00864617115542948,0.00886945341901522,0.00940046850531007
0.532427187042818,0.805694234247417,1,0.308574556254547,0.231801305373184,1,0.42046270008251,0.625747760872039,0.741239361365059,0.574360852603939,1,1,0.731605812039355,1,0.845232037316585,1,0.0852916670088227,0.70593171122711,0.475518971831095,0.0803998658674991,0.0311598862421693,1,0.0699536128384307,0.16215317976664,1,1,0.0329674347433543,0.493443577695152,0.00927474081525533,0.00890517271163144,0.00856244136904377,0.0088090897365574,0.00915014229145627,0.00827802223979822,1,0.0091816889409379,0.00865547692600399,0.00894912952756631,0.00949896638453748,0.00872940480019638,0.00866322059417298
0.846767209644019,0.763693977516644,1,0.934366514189868,1,0.654404886581591,1,0.82877711587276,1,1,1,1,0.142390516273267,1,0.345511533708162,0.766032436759413,1,1,0.677897476511991,1,0.383024568179222,0.259949438377698,0.29129357982131,0.012384521282333,0.952566939796876,1,0.140833986667715,0.0093310230280626,0.00869302182062843,0.772353728319139,0.0416780034564325,0.00773792909200307,0.144551277258881,0.792145946288526,0.00792342165214361,0.00924821731268969,0.00877201982873512,0.00897872837249759,0.00873982951378411,0.00893156622443106,0.00887783806906999
1,1,0.0995445940269442,1,0.669618060721686,0.326345831218568,1,0.949052537662357,0.971795667820897,0.34512797106207,1,1,1,0.304113418429763,0.791043817440811,1,0.727883111058415,0.366232841680249,1,0.255316825366201,1,0.654819100537171,0.762850794907041,0.120229917994349,0.0347154118334697,0.203498642015337,0.0320383869533082,0.00948049821095553,1,0.0102127322272169,0.0145234004779891,0.00927213092867485,0.00865466438097972,0.00890604864168921,0.00871544964951299,0.00876517734867079,0.0088086710651093,0.00844234116501542,0.00914997561009131,0.00890377750398528,0.00857231899872437
1,0.799112460699676,1,0.611851551847649,0.964731092794541,1,1,1,0.300799927265881,1,0.470680727148094,1,0.796262697596534,1,1,0.126281209204946,1,1,1,0.0895521748979747,0.490227574872008,1,0.0713068412354034,0.00913714399408028,0.0193436518581707,0.356418171204189,0.0123478392573432,0.00967675598293554,0.116789520317351,0.00923644598115291,0.0197138769995524,0.010883629044158,0.00844230896968856,0.00915040219774729,0.00864616309859014,0.00922626256134384,0.00845516270852004,0.00909467467034791,0.00877392642500063,0.0085889394346637,0.00873039199150678
0.912899350047203,0.205141253888617,1,1,0.998179821389119,0.766728044868228,1,1,0.259254183880244,1,0.521300986967592,1,0.219379335050453,0.0977924193171561,0.488078290306858,0.491797840665906,0.503813145497438,1,0.891688033304004,1,0.0637214828446258,0.241912963752441,0.0546820661432026,0.0277367171876267,0.167075088969199,0.500448493981678,0.0310314077388859,0.065931038472197,0.00966175751945748,0.00901450566950966,1,0.0371567451262175,0.00889598131339912,0.0084978097412271,0.00887712602222153,0.00979063669340415,0.00845122586056693,0.00886917747540338,0.00879138751367273,0.00946575392611673,0.00872280013316882
0.684722506905493,0.312936303846909,0.853238243361343,0.476080657815321,0.179096588182441,1,1,0.887895760596301,1,1,1,0.533546662632442,0.976925393396426,0.824263189205422,0.298708627810085,1,0.601621606494345,0.982362290173851,1,0.56496449779655,0.880328779036359,1,0.131176981943352,0.086199455104832,0.00903997755973187,0.0135248333483046,0.639377797803464,0.10342153940073,0.00867100216332378,0.33791586944101,0.0319109842402966,0.00855828890885622,0.00973676447978207,0.00842637974798224,0.00850709794263045,0.00845513089995002,0.00902168807322916,0.00871254726149734,0.00819641196760027,0.00879336766957656,0.00904793411161899
