"Clusters","All"
0.368150642203597,0.578727631857787
0.0226148213399024,0.0766276603094448
0.0921883074402969,0.723980347716444
0.626851656605916,0.840176400502614
0.164163860166363,0.48915806656798
0.0577105934902693,0.282809162597861
0.877754147910938,0.899778835403234
0.0140845070422535,0.1
0.59911483352348,0.897759755155384
0.00465036646653832,0.0120112055137784
0.0125506511118644,0.140238388362254
0.0965638053277947,0.156001934452349
0.25548588470547,0.531559807818814
0.577561989550355,0.625042831482441
0.706601836325331,0.962921280309941
1,1
0.0154389406179302,0.17472939121405
0.341368961275552,0.849055567069443
0.212161029496688,0.647620667313008
0.675771228429204,0.907434703988578
0.391590651624867,0.732696584148672
0.00380525768896605,0.10948859857932
0.890246797787905,1
0.573783408551655,0.82103092913154
0.00418508293303638,0.0171685603945493
0.632488175751751,0.836310862137851
0.176153296399228,0.884625708928472
0.304119346685441,0.141620090603067
0.735329073506707,0.878098329316551
0.526931894656309,0.777396015352265
0.978064554050806,0.986943027862601
0.0548769336379799,0.163606215890814
0.851880090250046,0.998561497495765
0.938513115408468,0.989341520757261
0.175119614210343,0.599849638224308
0.276573080925493,0.677347182139149
0.306088788437867,0.497999819605447
0.110184037880644,0.419303877741388
0.00637452445472905,0.0850691157055232
0.236293024348438,0.57322630624659
0.129215172269536,0.264625503176306
0.194678955042241,0.535014913501482
0.148077209377575,0.019776944418209
0.902600507454127,1
0.610844864044945,0.806312639850822
0.294691993520324,0.5591910018123
0.15044456038777,0.34450433724182
0.273391285344826,0.757074789729008
0.55302457459921,0.495037813992475
0.115522458643376,0.850056989925886
0.296124427198607,0.790907304598848
0.0180655436426861,0.382883660180953
0.116135177658483,0.582199438304767
0.515154200548164,0.602336050050512
0.109859965869099,0.497864955439503
0.109395101940777,0.300989591552233
0.246222866627851,0.470886228662246
0.370105476666273,0.401361679400831
0.47858811362293,0.0402363027101221
0.042907432979431,0.171703552539022
0.661327214091397,0.80798688598483
0.87677507387521,1
0.433045998860696,0.621912489983578
0.761398631113525,0.886928227855937
0.0461876164406451,0.690768253372038
0.446457308650951,0.365597226988044
0.173499065187043,0.380950615570129
0.0422518727376348,0.236531203772513
0.549370828619334,0.693075645053006
0.329977295024787,0.639170018672885
0.278948844054604,0.703556613739371
0.0622963063079164,0.356181425256477
0.726375592081675,0.883185932605257
0.0871612793468423,0.176550959050843
0.978603798202848,0.940220537897945
0.0446096420101631,0.151107258861376
0.13753190731595,0.601716159754198
0.826579862792428,0.970729768845439
0.433403265206434,0.48820715182007
0.0481707959110892,0.579777774131506
0.524186376152085,0.712340391360376
0.0312214828004924,0.425972784068383
0.0697983791000089,0.13619015169905
0.0782520065241654,0.342249871033184
0.142102217193529,0.723861204351784
0.475594765305812,0.791035155971299
0.358635280128235,0.960798547690405
0.729389481716081,0.936081017064345
0.0765270766979462,0.294198659702418
0.190463599267116,0.882523576340877
0.102162114163958,0.502254599812438
0.883521153958485,0.961989409021459
0.142672659961632,0.316451131735379
0.0905664611205281,0.377777206530368
0.0581784588114952,0.466870029298041
0.273981715843601,0.68596529802232
0.0151246718370793,0.188850542952834
0.0711271158962681,0.080972840038121
0.0100827407043779,0.29251024391518
0.137550819036169,0.31149400548787
0.585686709321214,0.799897219888955
0.0593155341766149,0.0529377121276071
0.179812397620017,0.353641191752526
0.668728344220133,0.746413232124889
0.453353945948917,0.717626468425227
0.109406036020605,0.47142996330395
0.398169608014242,0.644149453134151
0.481910110714042,0.593940750445968
0.210541809511858,0.707705204261286
0.641627298721352,0.670691747732698
0.235798625422166,0.374573918812332
0.420920897565893,0.621629655473902
0.416303728064187,0.559832568432607
0.347903992099549,0.00858729489577654
0.759824671203791,0.940474568365596
0.607399545309993,0.889395789531963
0.97481482921232,0.958539535064263
0.754428982383438,0.867626453880316
0.145055561599404,0.61169352694733
0.0123483267551494,0.134126388861867
0.555649957247082,0.629035494467102
0.00242144444269314,0.00833177452446271
0.193685323337508,0.378556051013766
0.199918933467393,0.726651182437517
0.172884435002511,0.574443211223607
0.232300481982031,0.620908946855469
0.331254560340953,0.708337460823555
0.294170947193729,0.631005636260316
0.0287564946107321,0.56283959628726
0.914094303962701,1
0.119390176604543,0.624276546812527
0.0786248760170931,0.332592913083703
0.968038820545056,0.992912690029857
0.0353326750570071,0.527286544230167
0.00186575174379464,0.0331856101280759
0.3629240613848,0.49399992390933
0.415168435141794,0.270698978855973
0.217040312761247,0.4010031411038
0.352638859828001,0.451133974666062
0.471137545585444,0.649831866094882
0.00288182025825804,0.110322245773863
0.41102582564683,0.580698624642793
0.270653123248453,0.935933938744614
1,0.976237039041326
0.1212847239733,0.633246819340056
0.230078240887654,0.522329300130783
0.28540573977134,0.903272333125959
0.488604981036342,0.729595014587685
0.253308924979469,0.418930783897361
0.642991065401885,0.946733355955882
0.139027113748124,0.567437900992425
0.210198014192678,0.792542109727866
0.727143374466648,0.835139366191796
0.255193085088365,0.856450056409653
0.13512392936879,0.134727794076047
0.0594537265905565,0.0922374117159312
0.537051257336722,0.721841527153395
0.107980468320538,0.266012847611424
1,0.997345006934662
0.61186815042022,0.68474664894474
0.432663151749641,0.58904829178154
0.00258859253832646,0.094259488702268
0.432240762812688,0.741512030193147
0.654358777572402,0.752510827752723
0.0960518405231306,0.410118243535911
0.103819392797079,0.590587244006832
0.720841578569918,0.812361700935513
0.879812259925515,0.968754809480407
0.618473082731938,0.831117005053868
0.0867898492080845,0.125
0.421351538500319,0.734533056601369
0.0205131236955268,0.767255636185472
0.108568690260127,0.201105305319943
0.375018353117422,0.863068760674702
0.967033542147054,0.899541975544525
0.0234454128843447,0.222243806911694
0.305382879933215,0.597792605002618
0.697724110918467,0.923153916950185
0.560899329188236,0.852038964399286
0.632952459258089,0.761321730661235
0.563673321180084,0.829947947974536
0.221474615298011,0.440047027161895
0.454878844980019,0.710753005233551
0.487442146217249,0.375419884106199
0.0586644615766923,0.269572912616221
0.120720612001906,0.460719894671777
0.0152529631821275,0.17795723074904
0.858627964871836,0.76207524838904
0.566713956896794,0.712452397295117
